,PCRINCONCLUSIVE,POSITIVITYRATE,POSITIVITYRATEROLLINGAVG,SEROLOGYINCONCLUSIVE,SEROLOGYNEGATIVE,SEROLOGYPOSITIVE,date,month,year
0,0.0,100.0,0.0,0.0,0.0,0.0,2020-03-03,3,2020
1,0.0,0.0,0.0,0.0,0.0,0.0,2020-03-04,3,2020
2,0.0,0.0,0.0,0.0,0.0,0.0,2020-03-05,3,2020
3,0.0,0.0,0.0,0.0,0.0,0.0,2020-03-06,3,2020
4,0.0,0.0,0.0,0.0,0.0,0.0,2020-03-07,3,2020
5,0.0,0.0,0.0,0.0,0.0,0.0,2020-03-08,3,2020
6,0.0,0.0,0.0,0.0,0.0,0.0,2020-03-09,3,2020
7,0.0,0.0,0.0,0.0,0.0,0.0,2020-03-10,3,2020
8,0.0,0.0,0.0,0.0,0.0,0.0,2020-03-11,3,2020
9,0.0,0.0,0.0,0.0,0.0,0.0,2020-03-12,3,2020
10,0.0,33.3333333333,4.8,0.0,0.0,0.0,2020-03-13,3,2020
11,0.0,10.0,6.2,0.0,0.0,0.0,2020-03-14,3,2020
12,0.0,0.0,6.2,0.0,0.0,0.0,2020-03-15,3,2020
13,0.0,17.6470588235,8.7,0.0,0.0,0.0,2020-03-16,3,2020
14,0.0,7.31707317073,9.8,0.0,0.0,0.0,2020-03-17,3,2020
15,0.0,9.85915492958,11.2,0.0,0.0,0.0,2020-03-18,3,2020
16,0.0,12.1951219512,12.9,0.0,0.0,0.0,2020-03-19,3,2020
17,0.0,12.987012987,10.0,0.0,0.0,0.0,2020-03-20,3,2020
18,0.0,12.9032258065,10.4,0.0,0.0,0.0,2020-03-21,3,2020
19,0.0,20.6896551724,13.4,0.0,0.0,0.0,2020-03-22,3,2020
20,0.0,7.95454545455,12.0,0.0,0.0,0.0,2020-03-23,3,2020
21,0.0,12.8491620112,12.8,0.0,0.0,0.0,2020-03-24,3,2020
22,0.0,12.077294686,13.1,0.0,0.0,0.0,2020-03-25,3,2020
23,0.0,18.2291666667,14.0,0.0,0.0,0.0,2020-03-26,3,2020
24,0.0,19.2893401015,14.9,0.0,0.0,0.0,2020-03-27,3,2020
25,0.0,20.3947368421,15.9,0.0,0.0,0.0,2020-03-28,3,2020
26,0.0,32.5301204819,17.6,0.0,0.0,0.0,2020-03-29,3,2020
27,0.0,13.1097560976,18.4,0.0,0.0,0.0,2020-03-30,3,2020
28,0.0,17.004048583,18.9,0.0,0.0,0.0,2020-03-31,3,2020
29,0.0,16.2962962963,19.6,0.0,0.0,0.0,2020-04-01,4,2020
30,0.0,18.4300341297,19.6,0.0,0.0,0.0,2020-04-02,4,2020
31,0.0,14.0562248996,18.8,0.0,0.0,0.0,2020-04-03,4,2020
32,0.0,14.2045454545,17.9,0.0,0.0,0.0,2020-04-04,4,2020
33,0.0,24.1666666667,16.8,0.0,0.0,0.0,2020-04-05,4,2020
34,0.0,29.4478527607,19.1,0.0,0.0,0.0,2020-04-06,4,2020
35,0.0,19.2708333333,19.4,0.0,0.0,0.0,2020-04-07,4,2020
36,0.0,22.1621621622,20.2,0.0,0.0,0.0,2020-04-08,4,2020
37,0.0,21.3793103448,20.7,0.0,0.0,0.0,2020-04-09,4,2020
38,0.0,21.6931216931,21.8,0.0,0.0,0.0,2020-04-10,4,2020
39,0.0,14.2857142857,21.8,0.0,0.0,0.0,2020-04-11,4,2020
40,0.0,27.0588235294,22.2,0.0,0.0,0.0,2020-04-12,4,2020
41,0.0,14.6464646465,20.1,0.0,0.0,0.0,2020-04-13,4,2020
42,0.0,15.0753768844,19.5,0.0,0.0,0.0,2020-04-14,4,2020
43,1.0,21.5789473684,19.4,0.0,1.0,1.0,2020-04-15,4,2020
44,0.0,16.9398907104,18.8,0.0,0.0,1.0,2020-04-16,4,2020
45,1.0,15.7142857143,17.9,0.0,0.0,0.0,2020-04-17,4,2020
46,0.0,19.801980198,18.7,0.0,0.0,0.0,2020-04-18,4,2020
47,0.0,18.1818181818,17.4,0.0,0.0,0.0,2020-04-19,4,2020
48,2.0,14.7368421053,17.4,0.0,0.0,1.0,2020-04-20,4,2020
49,4.0,23.6363636364,18.7,0.0,13.0,0.0,2020-04-21,4,2020
50,2.0,11.1538461538,17.2,0.0,6.0,1.0,2020-04-22,4,2020
51,6.0,17.7865612648,17.3,0.0,2.0,0.0,2020-04-23,4,2020
52,8.0,9.09090909091,16.3,0.0,8.0,0.0,2020-04-24,4,2020
53,0.0,19.2307692308,16.3,0.0,0.0,1.0,2020-04-25,4,2020
54,0.0,19.7916666667,16.5,0.0,0.0,0.0,2020-04-26,4,2020
55,1.0,15.1260504202,16.5,0.0,14.0,0.0,2020-04-27,4,2020
56,1.0,15.0,15.3,0.0,13.0,1.0,2020-04-28,4,2020
57,1.0,23.4323432343,17.1,0.0,10.0,2.0,2020-04-29,4,2020
58,2.0,16.3157894737,16.9,0.0,16.0,0.0,2020-04-30,4,2020
59,1.0,17.0731707317,18.0,0.0,13.0,1.0,2020-05-01,5,2020
60,0.0,10.3448275862,16.7,0.0,5.0,1.0,2020-05-02,5,2020
61,0.0,11.9047619048,15.6,0.0,0.0,1.0,2020-05-03,5,2020
62,1.0,15.7894736842,15.7,0.0,18.0,2.0,2020-05-04,5,2020
63,1.0,15.5172413793,15.8,0.0,28.0,0.0,2020-05-05,5,2020
64,1.0,10.3857566766,13.9,0.0,32.0,0.0,2020-05-06,5,2020
65,0.0,8.39416058394,12.8,0.0,39.0,0.0,2020-05-07,5,2020
66,1.0,5.48523206751,11.1,0.0,29.0,1.0,2020-05-08,5,2020
67,0.0,7.89473684211,10.8,0.0,27.0,1.0,2020-05-09,5,2020
68,0.0,9.80392156863,10.5,0.0,14.0,1.0,2020-05-10,5,2020
69,0.0,8.84955752212,9.5,0.0,48.0,1.0,2020-05-11,5,2020
70,2.0,13.1901840491,9.1,0.0,93.0,7.0,2020-05-12,5,2020
71,0.0,12.7795527157,9.5,1.0,119.0,6.0,2020-05-13,5,2020
72,0.0,8.35913312693,9.5,1.0,129.0,5.0,2020-05-14,5,2020
73,0.0,6.9825436409,9.7,0.0,115.0,4.0,2020-05-15,5,2020
74,0.0,9.44444444444,9.9,0.0,47.0,2.0,2020-05-16,5,2020
75,0.0,6.36942675159,9.4,0.0,34.0,1.0,2020-05-17,5,2020
76,0.0,6.81818181818,9.1,0.0,93.0,5.0,2020-05-18,5,2020
77,0.0,11.3082039911,8.9,0.0,87.0,2.0,2020-05-19,5,2020
78,0.0,9.88023952096,8.5,0.0,87.0,4.0,2020-05-20,5,2020
