PCRINCONCLUSIVE,POSITIVITYRATE,POSITIVITYRATE,date
0,100,100,3/3/2020
0,0,0,3/4/2020
0,0,0,3/5/2020
0,0,0,3/6/2020
0,0,0,3/7/2020
0,0,0,3/8/2020
0,0,0,3/9/2020
0,0,0,3/10/2020
0,0,0,3/11/2020
0,0,0,3/12/2020
0,33.33333333,33.33333333,3/13/2020
0,10,10,3/14/2020
0,0,0,3/15/2020
0,17.64705882,17.64705882,3/16/2020
0,7.317073171,7.317073171,3/17/2020
0,9.85915493,9.85915493,3/18/2020
0,12.19512195,12.19512195,3/19/2020
0,12.98701299,12.98701299,3/20/2020
0,12.90322581,12.90322581,3/21/2020
0,20.68965517,20.68965517,3/22/2020
0,7.954545455,7.954545455,3/23/2020
0,12.84916201,12.84916201,3/24/2020
0,12.07729469,12.07729469,3/25/2020
0,18.22916667,18.22916667,3/26/2020
0,19.2893401,19.2893401,3/27/2020
0,20.39473684,20.39473684,3/28/2020
0,32.53012048,32.53012048,3/29/2020
0,13.1097561,13.1097561,3/30/2020
0,17.00404858,17.00404858,3/31/2020
0,16.2962963,16.2962963,4/1/2020
0,18.43003413,18.43003413,4/2/2020
0,14.0562249,14.0562249,4/3/2020
0,14.20454545,14.20454545,4/4/2020
0,24.16666667,24.16666667,4/5/2020
0,29.44785276,29.44785276,4/6/2020
0,19.27083333,19.27083333,4/7/2020
0,22.16216216,22.16216216,4/8/2020
0,21.37931034,21.37931034,4/9/2020
0,21.69312169,21.69312169,4/10/2020
0,14.28571429,14.28571429,4/11/2020
0,27.05882353,27.05882353,4/12/2020
0,14.64646465,14.64646465,4/13/2020
0,15.07537688,15.07537688,4/14/2020
1,21.57894737,21.57894737,4/15/2020
0,16.93989071,16.93989071,4/16/2020
1,15.71428571,15.71428571,4/17/2020
0,19.8019802,19.8019802,4/18/2020
0,18.18181818,18.18181818,4/19/2020
2,14.73684211,14.73684211,4/20/2020
4,23.63636364,23.63636364,4/21/2020
2,11.15384615,11.15384615,4/22/2020
6,17.78656126,17.78656126,4/23/2020
8,9.090909091,9.090909091,4/24/2020
0,19.23076923,19.23076923,4/25/2020
0,19.79166667,19.79166667,4/26/2020
1,15.12605042,15.12605042,4/27/2020
1,15,15,4/28/2020
1,23.43234323,23.43234323,4/29/2020
2,16.31578947,16.31578947,4/30/2020
1,17.07317073,17.07317073,5/1/2020
0,10.34482759,10.34482759,5/2/2020
0,11.9047619,11.9047619,5/3/2020
1,15.78947368,15.78947368,5/4/2020
1,15.51724138,15.51724138,5/5/2020
1,10.38575668,10.38575668,5/6/2020
0,8.394160584,8.394160584,5/7/2020
1,5.485232068,5.485232068,5/8/2020
0,7.894736842,7.894736842,5/9/2020
0,9.803921569,9.803921569,5/10/2020
0,8.849557522,8.849557522,5/11/2020
2,13.19018405,13.19018405,5/12/2020
0,12.77955272,12.77955272,5/13/2020
0,8.359133127,8.359133127,5/14/2020
0,6.982543641,6.982543641,5/15/2020
0,9.444444444,9.444444444,5/16/2020
0,6.369426752,6.369426752,5/17/2020
0,6.818181818,6.818181818,5/18/2020
0,11.30820399,11.30820399,5/19/2020
0,9.880239521,9.880239521,5/20/2020
0,9.135802469,9.135802469,5/21/2020
0,4.205607477,4.205607477,5/22/2020
0,3.791469194,3.791469194,5/23/2020
0,3.571428571,3.571428571,5/24/2020
0,5.913978495,5.913978495,5/25/2020
0,6.510851419,6.510851419,5/26/2020
0,6.401384083,6.401384083,5/27/2020
0,6.26223092,6.26223092,5/28/2020
0,4.794520548,4.794520548,5/29/2020
1,5.579399142,5.579399142,5/30/2020
0,7.103825137,7.103825137,5/31/2020
1,6.518282989,6.518282989,6/1/2020
1,5.753968254,5.753968254,6/2/2020
0,5.535055351,5.535055351,6/3/2020
1,5.66572238,5.66572238,6/4/2020
0,5.870020964,5.870020964,6/5/2020
0,6.578947368,6.578947368,6/6/2020
0,2.631578947,2.631578947,6/7/2020
0,4.483430799,4.483430799,6/8/2020
0,5.523809524,5.523809524,6/9/2020
0,4.051565378,4.051565378,6/10/2020
0,6.871165644,6.871165644,6/11/2020
0,4.838709677,4.838709677,6/12/2020
1,3.194888179,3.194888179,6/13/2020
0,4.395604396,4.395604396,6/14/2020
1,3.945578231,3.945578231,6/15/2020
0,6.259780908,6.259780908,6/16/2020
2,5.505952381,5.505952381,6/17/2020
1,6.779661017,6.779661017,6/18/2020
2,5.098039216,5.098039216,6/19/2020
0,6.609195402,6.609195402,6/20/2020
0,11.11111111,11.11111111,6/21/2020
8,6.923076923,6.923076923,6/22/2020
1,5.838509317,5.838509317,6/23/2020
3,6.527415144,6.527415144,6/24/2020
0,7.704160247,7.704160247,6/25/2020
0,7.04787234,7.04787234,6/26/2020
0,8.222222222,8.222222222,6/27/2020
0,7.422680412,7.422680412,6/28/2020
1,8.675373134,8.675373134,6/29/2020
0,7.75862069,7.75862069,6/30/2020
0,8.087431694,8.087431694,7/1/2020
1,9.071729958,9.071729958,7/2/2020
0,9.661835749,9.661835749,7/3/2020
0,16.31944444,16.31944444,7/4/2020
0,10.13333333,10.13333333,7/5/2020
0,8.404074703,8.404074703,7/6/2020
1,8.991825613,8.991825613,7/7/2020
0,10.3843009,10.3843009,7/8/2020
1,9.796314258,9.796314258,7/9/2020
2,8.426966292,8.426966292,7/10/2020
0,8.412698413,8.412698413,7/11/2020
0,9.487666034,9.487666034,7/12/2020
1,8.053691275,8.053691275,7/13/2020
0,9.090909091,9.090909091,7/14/2020
0,8.093994778,8.093994778,7/15/2020
0,9.87654321,9.87654321,7/16/2020
0,9.875259875,9.875259875,7/17/2020
0,11.39489195,11.39489195,7/18/2020
1,11.00244499,11.00244499,7/19/2020
4,7.985865724,7.985865724,7/20/2020
2,7.82674772,7.82674772,7/21/2020
0,11.89245088,11.89245088,7/22/2020
2,8.675373134,8.675373134,7/23/2020
1,8.658743633,8.658743633,7/24/2020
0,6.835066865,6.835066865,7/25/2020
0,7.321428571,7.321428571,7/26/2020
1,10.1842871,10.1842871,7/27/2020
2,8.981001727,8.981001727,7/28/2020
3,8.823529412,8.823529412,7/29/2020
6,8.596713021,8.596713021,7/30/2020
0,7.944915254,7.944915254,7/31/2020
8,11.68437026,11.68437026,8/1/2020
5,8.963093146,8.963093146,8/2/2020
7,6.516853933,6.516853933,8/3/2020
4,6.9527897,6.9527897,8/4/2020
1,8.356039964,8.356039964,8/5/2020
0,6.64893617,6.64893617,8/6/2020
2,8.461538462,8.461538462,8/7/2020
0,8.87245841,8.87245841,8/8/2020
0,8.474576271,8.474576271,8/9/2020
2,7.84114053,7.84114053,8/10/2020
10,7.524059493,7.524059493,8/11/2020
1,6.937033084,6.937033084,8/12/2020
1,7.782101167,7.782101167,8/13/2020
2,8.333333333,8.333333333,8/14/2020
0,8.66807611,8.66807611,8/15/2020
1,6.652806653,6.652806653,8/16/2020
0,6.443298969,6.443298969,8/17/2020
2,5.719237435,5.719237435,8/18/2020
0,5.897887324,5.897887324,8/19/2020
1,5.721096544,5.721096544,8/20/2020
1,7.260273973,7.260273973,8/21/2020
0,5.45112782,5.45112782,8/22/2020
1,9.926470588,9.926470588,8/23/2020
1,5.874673629,5.874673629,8/24/2020
0,5.053191489,5.053191489,8/25/2020
0,4.75638051,4.75638051,8/26/2020
0,5.755395683,5.755395683,8/27/2020
1,6.63507109,6.63507109,8/28/2020
0,5,5,8/29/2020
0,6.231454006,6.231454006,8/30/2020
2,6.032171582,6.032171582,8/31/2020
2,5.074626866,5.074626866,9/1/2020
1,5.555555556,5.555555556,9/2/2020
0,5.605095541,5.605095541,9/3/2020
0,6.676783005,6.676783005,9/4/2020
0,5.144694534,5.144694534,9/5/2020
0,6.474820144,6.474820144,9/6/2020
0,8.646616541,8.646616541,9/7/2020
2,4.013015184,4.013015184,9/8/2020
1,6.089309878,6.089309878,9/9/2020
0,6.690997567,6.690997567,9/10/2020
0,4.166666667,4.166666667,9/11/2020
0,3.903903904,3.903903904,9/12/2020
1,4.945054945,4.945054945,9/13/2020
1,4.132231405,4.132231405,9/14/2020
2,5.233941316,5.233941316,9/15/2020
1,3.804797353,3.804797353,9/16/2020
1,4.451038576,4.451038576,9/17/2020
0,4.05982906,4.05982906,9/18/2020
0,4.518664047,4.518664047,9/19/2020
0,6.727828746,6.727828746,9/20/2020
1,3.763010408,3.763010408,9/21/2020
0,3.269367448,3.269367448,9/22/2020
0,4.215686275,4.215686275,9/23/2020
0,3.536977492,3.536977492,9/24/2020
1,4.936854191,4.936854191,9/25/2020
1,5.301204819,5.301204819,9/26/2020
2,5.750798722,5.750798722,9/27/2020
3,2.666666667,2.666666667,9/28/2020
0,2.108678021,2.108678021,9/29/2020
1,4.679802956,4.679802956,9/30/2020
3,3.921568627,3.921568627,10/1/2020
0,6.973684211,6.973684211,10/2/2020
0,3.846153846,3.846153846,10/3/2020
0,6.702412869,6.702412869,10/4/2020
3,4.752275025,4.752275025,10/5/2020
1,3.971405878,3.971405878,10/6/2020
1,5.240641711,5.240641711,10/7/2020
1,4.888416578,4.888416578,10/8/2020
1,6.157354618,6.157354618,10/9/2020
0,7.522123894,7.522123894,10/10/2020
1,13.20224719,13.20224719,10/11/2020
4,7.113402062,7.113402062,10/12/2020
2,4.214328718,4.214328718,10/13/2020
0,5.342624855,5.342624855,10/14/2020
0,5.915178571,5.915178571,10/15/2020
0,7.923169268,7.923169268,10/16/2020
0,10.6557377,10.6557377,10/17/2020
0,9.014084507,9.014084507,10/18/2020
6,6.853932584,6.853932584,10/19/2020
2,4.512635379,4.512635379,10/20/2020
0,7.907907908,7.907907908,10/21/2020
1,6.747230614,6.747230614,10/22/2020
0,9.578107184,9.578107184,10/23/2020
0,8.319185059,8.319185059,10/24/2020
0,12.60053619,12.60053619,10/25/2020
2,9.456928839,9.456928839,10/26/2020
2,6.547285954,6.547285954,10/27/2020
4,9.566787004,9.566787004,10/28/2020
2,8.870292887,8.870292887,10/29/2020
0,9.478021978,9.478021978,10/30/2020
0,11.94331984,11.94331984,10/31/2020
0,20.83333333,20.83333333,11/1/2020
8,10.22463207,10.22463207,11/2/2020
2,8.413461538,8.413461538,11/3/2020
1,12.32394366,12.32394366,11/4/2020
2,12.12781409,12.12781409,11/5/2020
1,13.50861287,13.50861287,11/6/2020
0,14.28571429,14.28571429,11/7/2020
1,15.54404145,15.54404145,11/8/2020
3,11.46757679,11.46757679,11/9/2020
0,13.76770538,13.76770538,11/10/2020
1,14.28571429,14.28571429,11/11/2020
1,15.02843217,15.02843217,11/12/2020
4,14.45086705,14.45086705,11/13/2020
1,15.50151976,15.50151976,11/14/2020
3,14.86068111,14.86068111,11/15/2020
2,10.63690085,10.63690085,11/16/2020
1,11.69916435,11.69916435,11/17/2020
1,12.22222222,12.22222222,11/18/2020
1,9.911406423,9.911406423,11/19/2020
3,11.63946061,11.63946061,11/20/2020
0,11.63069544,11.63069544,11/21/2020
0,13.37662338,13.37662338,11/22/2020
2,13.26754386,13.26754386,11/23/2020
1,11.70149254,11.70149254,11/24/2020
1,12.47933884,12.47933884,11/25/2020
0,18.93004115,18.93004115,11/26/2020
1,13.13131313,13.13131313,11/27/2020
0,18.53088481,18.53088481,11/28/2020
0,18.27956989,18.27956989,11/29/2020
2,16.00803751,16.00803751,11/30/2020
2,13.25376884,13.25376884,12/1/2020
1,12.10191083,12.10191083,12/2/2020
0,14.42477876,14.42477876,12/3/2020
2,11.13945578,11.13945578,12/4/2020
0,13.48837209,13.48837209,12/5/2020
0,15.85623679,15.85623679,12/6/2020
1,11.42191142,11.42191142,12/7/2020
1,11.62952646,11.62952646,12/8/2020
0,10.21721641,10.21721641,12/9/2020
1,12.30907457,12.30907457,12/10/2020
9,12.99810247,12.99810247,12/11/2020
1,15.21335807,15.21335807,12/12/2020
1,15.05791506,15.05791506,12/13/2020
1,12.55539143,12.55539143,12/14/2020
3,12.15323646,12.15323646,12/15/2020
1,14.31767338,14.31767338,12/16/2020
1,11.15276476,11.15276476,12/17/2020
2,12.14611872,12.14611872,12/18/2020
0,13.35616438,13.35616438,12/19/2020
2,16.07773852,16.07773852,12/20/2020
1,10.0433526,10.0433526,12/21/2020
5,9.534883721,9.534883721,12/22/2020
1,11.48325359,11.48325359,12/23/2020
2,10.53412463,10.53412463,12/24/2020
0,13.66459627,13.66459627,12/25/2020
0,15.67010309,15.67010309,12/26/2020
0,18.11414392,18.11414392,12/27/2020
3,10.84254144,10.84254144,12/28/2020
2,11.80237877,11.80237877,12/29/2020
2,12.26874391,12.26874391,12/30/2020
0,12.00417537,12.00417537,12/31/2020
0,21.47651007,21.47651007,1/1/2021
0,15.61514196,15.61514196,1/2/2021
0,19.45454545,19.45454545,1/3/2021
0,10.60267857,10.60267857,1/4/2021
4,12.88433382,12.88433382,1/5/2021
1,12.36442516,12.36442516,1/6/2021
0,9.88909427,9.88909427,1/7/2021
3,9.904761905,9.904761905,1/8/2021
1,9.941520468,9.941520468,1/9/2021
1,11.2412178,11.2412178,1/10/2021
2,5.691056911,5.691056911,1/11/2021
4,9.182736455,9.182736455,1/12/2021
1,9.441624365,9.441624365,1/13/2021
4,7.023895728,7.023895728,1/14/2021
1,7.97366496,7.97366496,1/15/2021
2,9.031198686,9.031198686,1/16/2021
1,11.72707889,11.72707889,1/17/2021
0,5.859065717,5.859065717,1/18/2021
2,5.841121495,5.841121495,1/19/2021
0,8.41995842,8.41995842,1/20/2021
3,6.507177033,6.507177033,1/21/2021
5,5.017605634,5.017605634,1/22/2021
1,6.312292359,6.312292359,1/23/2021
0,5.736434109,5.736434109,1/24/2021
1,6.265457543,6.265457543,1/25/2021
1,5.194805195,5.194805195,1/26/2021
0,7.491856678,7.491856678,1/27/2021
0,6.021505376,6.021505376,1/28/2021
1,9.06002265,9.06002265,1/29/2021
0,6.148282098,6.148282098,1/30/2021
1,7.797270955,7.797270955,1/31/2021
2,4.765450484,4.765450484,2/1/2021
3,4.0802213,4.0802213,2/2/2021
1,5.625606208,5.625606208,2/3/2021
2,3.048264183,3.048264183,2/4/2021
1,4.260651629,4.260651629,2/5/2021
3,6.896551724,6.896551724,2/6/2021
1,4.347826087,4.347826087,2/7/2021
1,3.291814947,3.291814947,2/8/2021
1,4.364569961,4.364569961,2/9/2021
2,4.246284501,4.246284501,2/10/2021
0,4.505494505,4.505494505,2/11/2021
2,5.23415978,5.23415978,2/12/2021
2,4.260089686,4.260089686,2/13/2021
0,6.948640483,6.948640483,2/14/2021
1,4.096834264,4.096834264,2/15/2021
0,3.064516129,3.064516129,2/16/2021
0,3.640776699,3.640776699,2/17/2021
1,2.81848929,2.81848929,2/18/2021
4,3.194444444,3.194444444,2/19/2021
1,5.074626866,5.074626866,2/20/2021
0,3.532608696,3.532608696,2/21/2021
1,1.634877384,1.634877384,2/22/2021
3,3.420523139,3.420523139,2/23/2021
1,3.010471204,3.010471204,2/24/2021
1,3.096774194,3.096774194,2/25/2021
0,3.462050599,3.462050599,2/26/2021
