SEROLOGYINCONCLUSIVE,SEROLOGYNEGATIVE,SEROLOGYPOSITIVE,date
0,0,0,3/3/2020
0,0,0,3/4/2020
0,0,0,3/5/2020
0,0,0,3/6/2020
0,0,0,3/7/2020
0,0,0,3/8/2020
0,0,0,3/9/2020
0,0,0,3/10/2020
0,0,0,3/11/2020
0,0,0,3/12/2020
0,0,0,3/13/2020
0,0,0,3/14/2020
0,0,0,3/15/2020
0,0,0,3/16/2020
0,0,0,3/17/2020
0,0,0,3/18/2020
0,0,0,3/19/2020
0,0,0,3/20/2020
0,0,0,3/21/2020
0,0,0,3/22/2020
0,0,0,3/23/2020
0,0,0,3/24/2020
0,0,0,3/25/2020
0,0,0,3/26/2020
0,0,0,3/27/2020
0,0,0,3/28/2020
0,0,0,3/29/2020
0,0,0,3/30/2020
0,0,0,3/31/2020
0,0,0,4/1/2020
0,0,0,4/2/2020
0,0,0,4/3/2020
0,0,0,4/4/2020
0,0,0,4/5/2020
0,0,0,4/6/2020
0,0,0,4/7/2020
0,0,0,4/8/2020
0,0,0,4/9/2020
0,0,0,4/10/2020
0,0,0,4/11/2020
0,0,0,4/12/2020
0,0,0,4/13/2020
0,0,0,4/14/2020
0,1,1,4/15/2020
0,0,1,4/16/2020
0,0,0,4/17/2020
0,0,0,4/18/2020
0,0,0,4/19/2020
0,0,1,4/20/2020
0,13,0,4/21/2020
0,6,1,4/22/2020
0,2,0,4/23/2020
0,8,0,4/24/2020
0,0,1,4/25/2020
0,0,0,4/26/2020
0,14,0,4/27/2020
0,13,1,4/28/2020
0,10,2,4/29/2020
0,16,0,4/30/2020
0,13,1,5/1/2020
0,5,1,5/2/2020
0,0,1,5/3/2020
0,18,2,5/4/2020
0,28,0,5/5/2020
0,32,0,5/6/2020
0,39,0,5/7/2020
0,29,1,5/8/2020
0,27,1,5/9/2020
0,14,1,5/10/2020
0,48,1,5/11/2020
0,93,7,5/12/2020
1,119,6,5/13/2020
1,129,5,5/14/2020
0,115,4,5/15/2020
0,47,2,5/16/2020
0,34,1,5/17/2020
0,93,5,5/18/2020
0,87,2,5/19/2020
0,87,4,5/20/2020
1,98,12,5/21/2020
0,107,8,5/22/2020
0,42,4,5/23/2020
0,40,2,5/24/2020
0,24,3,5/25/2020
0,80,5,5/26/2020
0,74,5,5/27/2020
0,71,5,5/28/2020
0,74,6,5/29/2020
0,15,2,5/30/2020
0,14,4,5/31/2020
0,30,2,6/1/2020
0,40,2,6/2/2020
0,42,5,6/3/2020
0,71,2,6/4/2020
0,54,2,6/5/2020
0,25,1,6/6/2020
0,17,1,6/7/2020
0,66,1,6/8/2020
0,71,3,6/9/2020
0,65,5,6/10/2020
0,69,3,6/11/2020
0,65,8,6/12/2020
0,31,2,6/13/2020
3,18,1,6/14/2020
0,73,2,6/15/2020
3,59,7,6/16/2020
0,51,3,6/17/2020
0,71,6,6/18/2020
0,77,7,6/19/2020
0,41,3,6/20/2020
0,22,1,6/21/2020
0,96,2,6/22/2020
0,66,3,6/23/2020
1,60,1,6/24/2020
0,37,4,6/25/2020
0,97,3,6/26/2020
0,37,4,6/27/2020
0,20,1,6/28/2020
0,122,2,6/29/2020
0,96,3,6/30/2020
0,92,0,7/1/2020
1,102,6,7/2/2020
0,47,2,7/3/2020
0,13,1,7/4/2020
0,15,3,7/5/2020
0,102,2,7/6/2020
0,76,1,7/7/2020
0,85,3,7/8/2020
0,63,2,7/9/2020
0,62,2,7/10/2020
0,24,4,7/11/2020
0,16,1,7/12/2020
0,63,5,7/13/2020
0,61,1,7/14/2020
0,52,4,7/15/2020
0,48,0,7/16/2020
0,39,0,7/17/2020
0,14,1,7/18/2020
0,22,1,7/19/2020
0,99,1,7/20/2020
0,66,2,7/21/2020
0,39,5,7/22/2020
1,31,0,7/23/2020
2,34,1,7/24/2020
0,5,2,7/25/2020
0,22,1,7/26/2020
0,49,3,7/27/2020
0,39,2,7/28/2020
0,31,0,7/29/2020
0,25,2,7/30/2020
0,30,3,7/31/2020
0,10,1,8/1/2020
0,12,0,8/2/2020
0,32,3,8/3/2020
0,25,4,8/4/2020
1,22,4,8/5/2020
0,24,2,8/6/2020
0,45,0,8/7/2020
0,11,2,8/8/2020
0,6,0,8/9/2020
0,25,3,8/10/2020
0,27,5,8/11/2020
0,21,2,8/12/2020
0,28,3,8/13/2020
0,18,1,8/14/2020
0,10,0,8/15/2020
0,7,1,8/16/2020
0,22,2,8/17/2020
0,19,5,8/18/2020
0,21,0,8/19/2020
0,16,2,8/20/2020
0,13,4,8/21/2020
0,3,0,8/22/2020
0,0,3,8/23/2020
0,20,0,8/24/2020
0,19,2,8/25/2020
0,18,6,8/26/2020
0,13,2,8/27/2020
0,10,1,8/28/2020
0,2,0,8/29/2020
0,4,0,8/30/2020
0,7,1,8/31/2020
0,15,8,9/1/2020
1,18,3,9/2/2020
1,35,6,9/3/2020
0,23,3,9/4/2020
0,2,2,9/5/2020
0,5,1,9/6/2020
0,3,0,9/7/2020
0,12,2,9/8/2020
0,13,4,9/9/2020
0,24,3,9/10/2020
0,24,0,9/11/2020
0,10,1,9/12/2020
0,6,0,9/13/2020
0,18,0,9/14/2020
0,11,4,9/15/2020
0,20,2,9/16/2020
0,19,5,9/17/2020
0,12,4,9/18/2020
0,2,0,9/19/2020
0,3,0,9/20/2020
0,20,3,9/21/2020
0,20,4,9/22/2020
0,15,2,9/23/2020
0,17,2,9/24/2020
0,13,3,9/25/2020
0,3,1,9/26/2020
0,1,1,9/27/2020
0,14,4,9/28/2020
0,14,0,9/29/2020
0,10,2,9/30/2020
0,12,5,10/1/2020
0,25,1,10/2/2020
0,6,1,10/3/2020
0,4,0,10/4/2020
0,17,3,10/5/2020
0,23,4,10/6/2020
0,9,5,10/7/2020
0,18,2,10/8/2020
0,17,4,10/9/2020
0,6,2,10/10/2020
0,5,0,10/11/2020
0,19,0,10/12/2020
0,22,3,10/13/2020
0,13,1,10/14/2020
0,21,2,10/15/2020
0,19,1,10/16/2020
0,5,2,10/17/2020
0,4,1,10/18/2020
0,16,0,10/19/2020
0,10,1,10/20/2020
0,14,0,10/21/2020
0,18,4,10/22/2020
0,14,0,10/23/2020
0,9,1,10/24/2020
0,8,0,10/25/2020
0,9,4,10/26/2020
0,12,2,10/27/2020
0,16,4,10/28/2020
0,11,2,10/29/2020
0,16,1,10/30/2020
0,9,2,10/31/2020
0,4,1,11/1/2020
0,17,7,11/2/2020
0,18,4,11/3/2020
0,14,1,11/4/2020
0,16,3,11/5/2020
0,7,3,11/6/2020
0,11,2,11/7/2020
0,13,5,11/8/2020
0,13,5,11/9/2020
0,21,9,11/10/2020
0,22,6,11/11/2020
0,13,5,11/12/2020
0,17,2,11/13/2020
0,6,4,11/14/2020
0,6,1,11/15/2020
0,26,7,11/16/2020
0,22,10,11/17/2020
0,37,3,11/18/2020
0,37,11,11/19/2020
0,21,7,11/20/2020
0,22,5,11/21/2020
0,12,4,11/22/2020
0,41,4,11/23/2020
0,24,6,11/24/2020
0,23,8,11/25/2020
0,8,4,11/26/2020
0,5,4,11/27/2020
0,11,0,11/28/2020
0,14,4,11/29/2020
0,21,13,11/30/2020
0,23,5,12/1/2020
0,20,5,12/2/2020
0,19,5,12/3/2020
0,29,7,12/4/2020
0,9,1,12/5/2020
0,12,3,12/6/2020
0,28,10,12/7/2020
0,25,3,12/8/2020
0,27,9,12/9/2020
0,24,8,12/10/2020
0,31,9,12/11/2020
0,17,2,12/12/2020
0,9,3,12/13/2020
1,38,9,12/14/2020
0,40,17,12/15/2020
0,21,8,12/16/2020
0,27,10,12/17/2020
0,40,11,12/18/2020
0,16,7,12/19/2020
0,35,8,12/20/2020
0,46,9,12/21/2020
0,40,13,12/22/2020
0,35,8,12/23/2020
0,28,4,12/24/2020
0,6,0,12/25/2020
0,19,8,12/26/2020
0,16,3,12/27/2020
0,21,16,12/28/2020
0,28,6,12/29/2020
0,24,2,12/30/2020
0,15,7,12/31/2020
0,8,2,1/1/2021
0,22,3,1/2/2021
0,16,4,1/3/2021
0,17,8,1/4/2021
0,22,4,1/5/2021
0,25,9,1/6/2021
0,20,8,1/7/2021
0,22,7,1/8/2021
0,12,3,1/9/2021
0,9,4,1/10/2021
0,25,6,1/11/2021
0,22,11,1/12/2021
0,27,7,1/13/2021
0,31,7,1/14/2021
0,34,6,1/15/2021
0,16,4,1/16/2021
0,9,7,1/17/2021
1,23,7,1/18/2021
0,37,11,1/19/2021
0,24,9,1/20/2021
0,25,6,1/21/2021
0,18,5,1/22/2021
0,13,6,1/23/2021
0,8,5,1/24/2021
0,23,12,1/25/2021
1,26,7,1/26/2021
0,18,13,1/27/2021
0,27,12,1/28/2021
0,20,2,1/29/2021
0,10,3,1/30/2021
0,8,10,1/31/2021
0,39,6,2/1/2021
0,17,6,2/2/2021
0,34,13,2/3/2021
0,16,11,2/4/2021
0,23,5,2/5/2021
0,5,2,2/6/2021
0,5,1,2/7/2021
0,20,8,2/8/2021
0,15,9,2/9/2021
0,15,6,2/10/2021
0,18,7,2/11/2021
0,12,6,2/12/2021
0,10,1,2/13/2021
0,6,3,2/14/2021
0,6,2,2/15/2021
0,4,5,2/16/2021
0,8,5,2/17/2021
0,10,8,2/18/2021
0,9,5,2/19/2021
0,3,4,2/20/2021
0,3,1,2/21/2021
0,6,10,2/22/2021
0,11,6,2/23/2021
0,10,5,2/24/2021
0,24,8,2/25/2021
0,15,5,2/26/2021
0,3,3,2/27/2021
0,4,4,2/28/2021
0,14,7,3/1/2021
0,19,11,3/2/2021
0,7,8,3/3/2021
0,7,14,3/4/2021
0,10,5,3/5/2021
0,3,1,3/6/2021
0,6,1,3/7/2021
0,16,4,3/8/2021
0,17,9,3/9/2021
0,7,7,3/10/2021
0,9,4,3/11/2021
0,12,7,3/12/2021
0,7,2,3/13/2021
0,5,1,3/14/2021
0,7,8,3/15/2021
0,12,5,3/16/2021
0,11,5,3/17/2021
0,10,3,3/18/2021
0,6,8,3/19/2021
0,7,2,3/20/2021
0,4,0,3/21/2021
0,9,2,3/22/2021
0,7,4,3/23/2021
0,8,6,3/24/2021
0,13,4,3/25/2021
0,10,5,3/26/2021
