,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Cape Town,0,ZA,1617801365,60,-33.9258,18.4232,73.0,16.11
1,Albany,100,US,1617801124,44,42.6001,-73.9662,53.01,1.01
2,Hirara,0,JP,1617801365,62,24.8,125.2833,70.16,14.9
3,Jamestown,1,US,1617801147,76,42.097,-79.2353,62.01,4.61
4,Chui,0,UY,1617801366,70,-33.6971,-53.4616,74.84,10.8
5,Punta Arenas,75,CL,1617801252,100,-53.15,-70.9167,42.8,8.05
6,Drayton Valley,100,CA,1617801367,90,53.2168,-114.9854,33.42,4.34
7,Raditsa-Krylovka,75,RU,1617801367,57,53.3171,34.3574,48.2,8.95
8,Saint Paul Harbor,1,US,1617801367,64,57.79,-152.4072,35.6,5.75
9,Karratha,4,AU,1617801367,62,-20.7377,116.8463,83.71,7.02
10,Fare,22,PF,1617801368,70,-16.7,-151.0167,80.15,10.13
11,Vila Franca do Campo,40,PT,1617801368,82,37.7167,-25.4333,62.6,12.66
12,Jalu,0,LY,1617801368,16,29.0331,21.5482,81.73,8.9
13,East London,0,ZA,1617801369,53,-33.0153,27.9116,75.2,12.66
14,Kambove,93,CD,1617801369,75,-10.8764,26.5969,71.69,6.96
15,Manta,75,EC,1617801264,83,-0.95,-80.7333,78.8,2.3
16,Omboué,61,GA,1617801369,55,-1.5746,9.2618,89.22,8.46
17,Mitsamiouli,75,KM,1617801370,83,-11.3847,43.2844,82.4,16.11
18,Hermanus,99,ZA,1617801118,67,-34.4187,19.2345,75.99,3.0
19,Kangaatsiaq,63,GL,1617801370,85,68.3065,-53.4641,20.34,12.75
20,Provideniya,100,RU,1617801370,95,64.3833,-173.3,-0.71,9.62
21,Wairoa,24,NZ,1617801371,98,-39.0333,177.3667,55.99,3.58
22,Vaini,20,TO,1617801371,94,-21.2,-175.2,68.0,6.76
23,Saskylakh,100,RU,1617801371,97,71.9167,114.0833,5.23,5.26
24,Rocha,7,UY,1617801371,74,-34.4833,-54.3333,73.17,10.65
25,Bluff,8,NZ,1617801372,93,-46.6,168.3333,48.99,1.99
26,Coyhaique,75,CL,1617801132,81,-45.5752,-72.0662,48.2,9.22
27,Saint-Philippe,75,RE,1617801372,74,-21.3585,55.7679,82.4,3.44
28,Kaitangata,82,NZ,1617801372,93,-46.2817,169.8464,52.0,3.0
29,Ribeira Grande,75,PT,1617801373,94,38.5167,-28.7,62.6,19.57
30,Hailar,7,CN,1617801373,40,49.2,119.7,36.48,4.65
31,Avarua,75,CK,1617801373,69,-21.2078,-159.775,80.6,9.22
32,Mataura,26,NZ,1617801374,93,-46.1927,168.8643,48.99,1.99
33,Thompson,75,CA,1617801119,86,55.7435,-97.8558,24.8,5.75
34,Puerto Ayora,84,EC,1617801374,91,-0.7393,-90.3518,77.0,3.42
35,Mossamedes,75,AO,1617801374,70,-15.1961,12.1522,86.0,13.8
36,Marsh Harbour,1,BS,1617801375,47,26.5412,-77.0636,68.83,4.45
37,Pevek,99,RU,1617801375,100,69.7008,170.3133,-25.47,3.67
38,Rohatyn,75,UA,1617801375,52,49.409,24.6093,42.01,8.95
39,Chilca,0,PE,1617801376,88,-12.5211,-76.7372,69.01,4.61
40,Phan Thiet,100,VN,1617801376,80,10.9333,108.1,80.08,14.29
41,Boffa,49,GN,1617801376,45,10.1667,-14.0333,95.0,10.49
42,Nhulunbuy,91,AU,1617801376,78,-12.2333,136.7667,77.0,3.44
43,Dikson,17,RU,1617801377,90,73.5069,80.5464,-0.31,8.05
44,Mahébourg,40,MU,1617801373,70,-20.4081,57.7,84.2,11.5
45,Sobolevo,100,RU,1617801377,84,54.4299,31.8996,36.66,9.31
46,General Roca,0,AR,1617801378,59,-39.0333,-67.5833,64.4,5.75
47,Keetmanshoop,0,NA,1617801378,20,-26.5833,18.1333,89.6,5.75
48,Neiafu,40,TO,1617801378,100,-18.65,-173.9833,68.0,8.9
49,Busselton,100,AU,1617801132,93,-33.65,115.3333,64.99,4.88
50,Lompoc,63,US,1617801082,93,34.6391,-120.4579,48.2,7.4
51,San Patricio,90,US,1617801379,94,28.017,-97.5169,72.0,16.11
52,Faanui,42,PF,1617801379,68,-16.4833,-151.75,80.74,10.22
53,Boa Vista,75,BR,1617801379,83,2.8197,-60.6733,78.8,6.91
54,Rikitea,0,PF,1617801117,59,-23.1203,-134.9692,76.75,11.65
55,Plouzané,90,FR,1617801380,57,48.3833,-4.6167,50.0,6.91
56,Hilo,90,US,1617801171,83,19.7297,-155.09,68.0,8.05
57,Port Lincoln,6,AU,1617801380,48,-34.7333,135.8667,68.56,4.47
58,Montegranaro,100,IT,1617801380,10,43.2355,13.631,53.01,1.01
59,Elizabeth City,1,US,1617801365,59,36.2946,-76.2511,66.0,4.7
60,Akhmīm,0,EG,1617801381,5,26.5622,31.745,95.0,5.75
61,Ushuaia,75,AR,1617801381,87,-54.8,-68.3,44.6,2.3
62,Laguna,1,US,1617801381,87,38.421,-121.4238,46.99,8.05
63,Udachny,100,RU,1617801382,98,66.4167,112.4,28.29,1.95
64,Aksu,100,CN,1617801382,35,41.1231,80.2644,57.22,6.8
65,Riyadh,0,SA,1617801172,8,24.6877,46.7219,91.4,4.61
66,Sioux Lookout,75,CA,1617801383,65,50.1001,-91.917,37.4,5.75
67,Carnarvon,98,AU,1617801117,69,-24.8667,113.6333,78.8,12.66
68,Saint-Pierre,75,RE,1617801383,74,-21.3393,55.4781,82.4,3.44
69,Hobart,0,AU,1617801225,72,-42.8794,147.3294,60.8,10.36
70,Yellowknife,90,CA,1617801383,68,62.456,-114.3525,19.4,16.11
71,Vestmannaeyjar,90,IS,1617801384,100,63.4427,-20.2734,30.2,26.46
72,Klaksvík,40,FO,1617801384,59,62.2266,-6.589,32.0,2.3
73,Sitka,90,US,1617801384,86,57.0531,-135.33,32.0,3.44
74,Salalah,0,OM,1617801385,51,17.0151,54.0924,87.8,6.91
75,Ankara,20,TR,1617801357,18,39.9199,32.8543,71.6,14.97
76,College,1,US,1617801385,76,64.8569,-147.8028,-13.0,3.44
77,Sunrise Manor,1,US,1617801327,12,36.2111,-115.0731,57.99,4.61
78,Mattru,91,SL,1617801385,49,7.6244,-11.8332,90.9,2.89
79,Ushtobe,100,KZ,1617801386,51,45.2514,77.9838,56.84,7.92
80,Hithadhoo,100,MV,1617801386,66,-0.6,73.0833,82.87,9.57
81,Mbandaka,64,CD,1617801386,52,0.0487,18.2603,90.01,1.48
